frame.number,frame.time,ip.src,ip.dst,tcp.seq,tcp.payload
"194","Feb  1, 2023 00:50:17.933761000 CST","54.148.153.241","192.168.137.222","0",
"830","Feb  1, 2023 00:50:18.091661000 CST","192.168.137.8","54.188.99.4","0",
"1186","Feb  1, 2023 00:50:18.155799000 CST","54.188.99.4","192.168.137.8","0",
"1410","Feb  1, 2023 00:50:18.392024000 CST","192.168.137.3","54.212.163.173","0",
"1416","Feb  1, 2023 00:50:18.481145000 CST","54.212.163.173","192.168.137.3","0",
"1610","Feb  1, 2023 00:50:18.594259000 CST","192.168.137.28","54.188.99.4","0",
"1983","Feb  1, 2023 00:50:18.678761000 CST","54.188.99.4","192.168.137.28","0",
"2468","Feb  1, 2023 00:50:18.838896000 CST","100.21.156.247","192.168.137.217","0",
"3271","Feb  1, 2023 00:50:19.237993000 CST","192.168.137.158","52.204.176.5","0",
"3272","Feb  1, 2023 00:50:19.246151000 CST","52.204.176.5","192.168.137.158","0",
"3538","Feb  1, 2023 00:50:19.320602000 CST","192.168.137.224","54.188.109.168","1","1703030040622c01038e04c5f298883daa089250864b0d90eac107a864151285e0a3bd2c5c0e4c3e4a2e7a870eae35d24b02e689972080f116b4609654d04569e9af24d164"
"3845","Feb  1, 2023 00:50:19.383614000 CST","54.188.109.168","192.168.137.224","70",
"4183","Feb  1, 2023 00:50:19.458552000 CST","192.168.137.1","192.168.137.190","1",
"4316","Feb  1, 2023 00:50:19.479031000 CST","192.168.137.190","192.168.137.1","4294966710","485454502f312e3120323030204f4b0d0a636f6e74656e742d547970653a206170706c69636174696f6e2f6a736f6e0d0a5472616e736665722d456e636f64696e673a206368756e6b65640d0a446174653a205475652c203331204a616e20323032332031363a35303a313820474d540d0a5365727665723a206c696768747470642f312e342e34360d0a0d0a"
"4317","Feb  1, 2023 00:50:19.479034000 CST","192.168.137.190","192.168.137.1","4294966851","303162360d0a"
